-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           forward_pass         0.00%       0.000us         0.00%       0.000us       0.000us      23.814ms      1180.86%      23.814ms       7.938ms             3  
                                          ProfilerStep*         0.64%     169.600us        99.97%      26.315ms       8.772ms       0.000us         0.00%       2.017ms     672.216us             3  
                                           forward_pass        31.89%       8.395ms        99.32%      26.145ms       8.715ms       0.000us         0.00%       2.017ms     672.216us             3  
                                       aten::layer_norm         2.37%     624.200us         6.80%       1.791ms     119.380us       0.000us         0.00%     941.484us      62.766us            15  
                                aten::native_layer_norm         1.24%     326.400us         4.43%       1.167ms      77.767us     941.484us        46.69%     941.484us      62.766us            15  
_ZN2at6native53_GLOBAL__N__e58679f9_20_layer_norm_ke...         0.00%       0.000us         0.00%       0.000us       0.000us     834.569us        41.38%     834.569us      55.638us            15  
                     aten::scaled_dot_product_attention         0.72%     189.300us        26.83%       7.063ms       1.177ms       0.000us         0.00%     795.354us     132.559us             6  
               aten::_scaled_dot_product_attention_math         2.28%     600.400us        26.11%       6.873ms       1.146ms       0.000us         0.00%     795.354us     132.559us             6  
                                    aten::_safe_softmax         0.36%      94.000us         4.73%       1.245ms     207.433us       0.000us         0.00%     370.719us      61.786us             6  
                                            aten::where         1.84%     484.700us         4.68%       1.232ms      68.428us     139.457us         6.92%     160.191us       8.899us            18  
                                            aten::copy_         1.95%     514.100us         4.28%       1.128ms      19.784us     143.644us         7.12%     143.644us       2.520us            57  
                                           aten::matmul         0.82%     215.200us         5.05%       1.329ms     110.708us       0.000us         0.00%     140.733us      11.728us            12  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     139.457us         6.92%     139.457us      11.621us            12  
                                              aten::bmm         1.65%     435.200us         2.27%     598.500us      49.875us     129.504us         6.42%     129.504us      10.792us            12  
                                               aten::to         0.70%     184.200us         8.93%       2.349ms      39.157us       0.000us         0.00%     115.647us       1.927us            60  
                                         aten::_to_copy         1.50%     395.700us         8.23%       2.165ms      48.116us       0.000us         0.00%     115.647us       2.570us            45  
                                             aten::add_         0.45%     119.400us         0.71%     187.400us      31.233us     111.170us         5.51%     111.170us      18.528us             6  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     111.170us         5.51%     111.170us      18.528us             6  
_ZN2at6native53_GLOBAL__N__e58679f9_20_layer_norm_ke...         0.00%       0.000us         0.00%       0.000us       0.000us     106.915us         5.30%     106.915us       7.128us            15  
                                          aten::softmax         0.05%      13.400us         0.82%     215.100us      35.850us       0.000us         0.00%      93.056us      15.509us             6  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 26.323ms
Self CUDA time total: 2.017ms
